User Name,First Name,Last Name,Display Name,Job Title,Department,ARBDate
cynthia@contoso.com,Cynthia,Carey,Cynthia Carey,IT Manager,Information Technology,1/31/2015
chris@contoso.com,Chris,Green,Chris Green,IT Manager,Information Technology,1/31/2019
ben@contoso.com,Ben,Andrews,Ben Andrews,IT Manager,Information Technology,2/31/2019
david@contoso.com,David,Longmuir,David Longmuir,IT Manager,Information Technology,3/31/2019
cynthia@contoso.com,Cynthia,Carey,Cynthia Carey,IT Manager,Information Technology,4/31/2019
melissa@contoso.com,Melissa,MacBeth,Melissa MacBeth,IT Manager,Information Technology,5/31/2019
ben@contoso.com,Ben,Andrews,Ben Andrews,IT Manager,Information Technology,5/31/2014
ben@contoso.com,Ben,Andrews,Ben Andrews,IT Manager,Information Technology,2/31/2021
ben@contoso.com,Ben,Andrews,Ben Andrews,IT Manager,Information Technology,6/31/2017
ben@contoso.com,Ben,Andrews,Ben Andrews,IT Manager,Information Technology,7/31/2011
